,,,YAW,PITCH,ROLL
717,51:03.0,ypr,118.33,130.29,160.39
719,51:03.0,ypr,118.54,130.53,160.31
721,51:03.0,ypr,118.71,130.8,160.29
723,51:03.0,ypr,118.85,130.98,160.23
725,51:03.0,ypr,119,131.15,160.13
727,51:03.0,ypr,119.17,131.35,159.95
729,51:03.0,ypr,119.36,131.57,159.8
731,51:03.1,ypr,119.56,131.83,159.67
733,51:03.1,ypr,119.74,132.04,159.52
735,51:03.1,ypr,119.93,132.34,159.4
737,51:03.1,ypr,120.1,132.64,159.34
739,51:03.1,ypr,120.26,132.98,159.32
741,51:03.1,ypr,120.43,133.33,159.31
743,51:03.1,ypr,120.59,133.68,159.3
745,51:03.1,ypr,120.76,134.04,159.3
747,51:03.1,ypr,120.95,134.44,159.31
749,51:03.1,ypr,121.14,134.82,159.3
751,51:03.2,ypr,121.34,135.21,159.26
753,51:03.2,ypr,121.56,135.59,159.17
755,51:03.2,ypr,121.76,135.94,159.07
757,51:03.2,ypr,121.99,136.28,158.94
759,51:03.2,ypr,122.23,136.64,158.78
761,51:03.2,ypr,122.48,137.01,158.65
763,51:03.2,ypr,122.7,137.37,158.55
765,51:03.2,ypr,122.91,137.71,158.43
767,51:03.2,ypr,123.1,138.05,158.31
769,51:03.2,ypr,123.3,138.4,158.17
771,51:03.3,ypr,123.5,138.75,158
773,51:03.3,ypr,123.69,139.08,157.81
775,51:03.3,ypr,123.87,139.38,157.6
777,51:03.3,ypr,124.05,139.67,157.41
779,51:03.3,ypr,124.21,139.96,157.23
781,51:03.3,ypr,124.37,140.25,157.06
783,51:03.3,ypr,124.51,140.53,156.88
785,51:03.3,ypr,124.62,140.79,156.73
787,51:03.3,ypr,124.73,141.06,156.58
789,51:03.3,ypr,124.82,141.32,156.43
791,51:03.4,ypr,124.91,141.59,156.28
793,51:03.4,ypr,125,141.85,156.14
795,51:03.4,ypr,125.07,142.1,156
797,51:03.4,ypr,125.12,142.36,155.85
799,51:03.4,ypr,125.18,142.61,155.7
801,51:03.4,ypr,125.22,142.86,155.54
803,51:03.4,ypr,125.27,143.11,155.38
805,51:03.4,ypr,125.31,143.36,155.21
807,51:03.4,ypr,125.34,143.61,155.07
809,51:03.4,ypr,125.34,143.85,154.93
811,51:03.5,ypr,125.3,144.06,154.82
813,51:03.5,ypr,125.26,144.24,154.7
815,51:03.5,ypr,125.21,144.39,154.56
817,51:03.5,ypr,125.19,144.52,154.4
819,51:03.5,ypr,125.18,144.65,154.22
821,51:03.5,ypr,125.18,144.76,154.04
823,51:03.5,ypr,125.19,144.86,153.84
825,51:03.5,ypr,125.2,144.96,153.64
827,51:03.5,ypr,125.2,145.05,153.44
829,51:03.5,ypr,125.2,145.13,153.23
831,51:03.6,ypr,125.17,145.2,153.03
833,51:03.6,ypr,125.13,145.29,152.84
835,51:03.6,ypr,125.09,145.36,152.66
837,51:03.6,ypr,125.02,145.4,152.47
839,51:03.6,ypr,124.95,145.44,152.28
841,51:03.6,ypr,124.87,145.49,152.08
843,51:03.6,ypr,124.8,145.51,151.88
845,51:03.6,ypr,124.74,145.53,151.66
847,51:03.6,ypr,124.69,145.55,151.44
849,51:03.6,ypr,124.63,145.55,151.23
851,51:03.7,ypr,124.58,145.57,151.03
853,51:03.7,ypr,124.52,145.59,150.83
855,51:03.7,ypr,124.47,145.59,150.64
857,51:03.7,ypr,124.41,145.58,150.44
859,51:03.7,ypr,124.37,145.55,150.22
861,51:03.7,ypr,124.31,145.51,150
863,51:03.7,ypr,124.24,145.45,149.78
865,51:03.7,ypr,124.17,145.36,149.55
867,51:03.7,ypr,124.08,145.26,149.33
869,51:03.7,ypr,124,145.17,149.1
871,51:03.8,ypr,123.9,145.07,148.88
873,51:03.8,ypr,123.8,144.98,148.69
875,51:03.8,ypr,123.66,144.9,148.54
877,51:03.8,ypr,123.51,144.79,148.4
879,51:03.8,ypr,123.35,144.68,148.29
881,51:03.8,ypr,123.19,144.53,148.18
883,51:03.8,ypr,123.04,144.35,148.06
885,51:03.8,ypr,122.87,144.18,147.96
887,51:03.8,ypr,122.7,144.04,147.89
889,51:03.8,ypr,122.51,143.92,147.87
891,51:03.9,ypr,122.31,143.82,147.9
893,51:03.9,ypr,122.07,143.73,148.01
895,51:03.9,ypr,121.79,143.61,148.18
897,51:03.9,ypr,121.48,143.48,148.38
899,51:03.9,ypr,121.18,143.34,148.56
901,51:03.9,ypr,120.93,143.21,148.66
903,51:03.9,ypr,120.74,143.06,148.66
905,51:03.9,ypr,120.64,142.88,148.54
907,51:03.9,ypr,120.63,142.66,148.31
909,51:03.9,ypr,120.66,142.43,148.02
911,51:04.0,ypr,120.72,142.19,147.74
913,51:04.0,ypr,120.79,141.96,147.49
915,51:04.0,ypr,120.86,141.76,147.28
917,51:04.0,ypr,120.89,141.57,147.11
919,51:04.0,ypr,120.9,141.33,146.94
921,51:04.0,ypr,120.91,141.02,146.72
923,51:04.0,ypr,120.92,140.66,146.45
925,51:04.0,ypr,120.97,140.27,146.11
927,51:04.0,ypr,121.03,139.88,145.76
929,51:04.0,ypr,121.16,139.54,145.37
931,51:04.1,ypr,121.3,139.26,145.02
933,51:04.1,ypr,121.46,139.02,144.7
935,51:04.1,ypr,121.58,138.81,144.42
937,51:04.1,ypr,121.67,138.61,144.17
939,51:04.1,ypr,121.69,138.36,143.99
941,51:04.1,ypr,121.69,138.1,143.88
943,51:04.1,ypr,121.67,137.82,143.79
945,51:04.1,ypr,121.66,137.53,143.68
947,51:04.1,ypr,121.68,137.24,143.52
949,51:04.1,ypr,121.76,136.98,143.31
951,51:04.2,ypr,121.88,136.78,143.07
953,51:04.2,ypr,122.02,136.6,142.83
955,51:04.2,ypr,122.15,136.43,142.57
957,51:04.2,ypr,122.26,136.25,142.34
959,51:04.2,ypr,122.34,136.03,142.11
961,51:04.2,ypr,122.4,135.75,141.88
963,51:04.2,ypr,122.43,135.44,141.65
965,51:04.2,ypr,122.44,135.09,141.41
967,51:04.2,ypr,122.43,134.77,141.21
969,51:04.2,ypr,122.41,134.52,141.09
971,51:04.3,ypr,122.37,134.31,141.05
973,51:04.3,ypr,122.28,134.12,141.12
975,51:04.3,ypr,122.14,133.95,141.27
977,51:04.3,ypr,122.02,133.76,141.39
979,51:04.3,ypr,121.9,133.54,141.48
981,51:04.3,ypr,121.81,133.27,141.48
983,51:04.3,ypr,121.81,132.99,141.35
985,51:04.3,ypr,121.91,132.72,141.09
987,51:04.3,ypr,122.11,132.47,140.68
989,51:04.3,ypr,122.41,132.28,140.18
991,51:04.4,ypr,122.74,132.15,139.68
993,51:04.4,ypr,123.07,132.03,139.19
995,51:04.4,ypr,123.35,131.93,138.78
997,51:04.4,ypr,123.57,131.79,138.41
999,51:04.4,ypr,123.69,131.57,138.1
1001,51:04.4,ypr,123.74,131.29,137.82
1003,51:04.4,ypr,123.78,131.01,137.58
1005,51:04.4,ypr,123.8,130.76,137.41
1007,51:04.4,ypr,123.8,130.51,137.35
1009,51:04.4,ypr,123.79,130.29,137.4
1011,51:04.5,ypr,123.74,130.09,137.57
1013,51:04.5,ypr,123.68,129.92,137.87
1015,51:04.5,ypr,123.62,129.74,138.19
1017,51:04.5,ypr,123.56,129.56,138.49
1019,51:04.5,ypr,123.54,129.39,138.75
1021,51:04.5,ypr,123.53,129.21,139.02
1023,51:04.5,ypr,123.54,129.05,139.27
1025,51:04.5,ypr,123.58,128.88,139.49
1027,51:04.5,ypr,123.66,128.72,139.63
1029,51:04.5,ypr,123.76,128.61,139.8
1031,51:04.6,ypr,123.88,128.52,139.98
1033,51:04.6,ypr,124,128.46,140.16
1035,51:04.6,ypr,124.09,128.39,140.38
1037,51:04.6,ypr,124.15,128.32,140.62
1039,51:04.6,ypr,124.2,128.26,140.93
1041,51:04.6,ypr,124.22,128.19,141.3
1043,51:04.6,ypr,124.25,128.15,141.72
1045,51:04.6,ypr,124.28,128.12,142.19
1047,51:04.6,ypr,124.32,128.09,142.64
1049,51:04.6,ypr,124.38,128.04,143.05
1051,51:04.7,ypr,124.45,128,143.41
1053,51:04.7,ypr,124.55,127.97,143.74
1055,51:04.7,ypr,124.66,127.92,144.03
1057,51:04.7,ypr,124.78,127.85,144.29
1059,51:04.7,ypr,124.91,127.78,144.53
1061,51:04.7,ypr,125.03,127.7,144.79
1063,51:04.7,ypr,125.15,127.62,145.06
1065,51:04.7,ypr,125.28,127.56,145.38
1067,51:04.7,ypr,125.39,127.51,145.82
1069,51:04.7,ypr,125.49,127.45,146.3
1071,51:04.8,ypr,125.59,127.41,146.79
1073,51:04.8,ypr,125.71,127.38,147.3
1075,51:04.8,ypr,125.84,127.37,147.77
1077,51:04.8,ypr,126.01,127.38,148.19
1079,51:04.8,ypr,126.21,127.41,148.56
1081,51:04.8,ypr,126.45,127.47,148.91
1083,51:04.8,ypr,126.73,127.56,149.23
1085,51:04.8,ypr,127.06,127.72,149.56
1087,51:04.8,ypr,127.34,127.84,149.95
1089,51:04.8,ypr,127.63,127.94,150.33
1091,51:04.9,ypr,127.9,128.06,150.79
1093,51:04.9,ypr,128.16,128.17,151.27
1095,51:04.9,ypr,128.42,128.29,151.76
1097,51:04.9,ypr,128.71,128.43,152.21
